ham	Hi how are you?
ham	Are you coming to college tomorrow?
ham	Let's meet at 5 PM.
ham	I will call you later.
ham	Did you complete the assignment?
ham	Can you send the notes?
ham	See you at the bus stop.
ham	Thank you for your help.
ham	I reached home safely.
ham	Please attend the meeting at 10 AM.
ham	Your package has been delivered.
ham	Happy birthday! Have a great day.
ham	What are you doing now?
ham	I am on the way.
ham	Call me when you are free.
ham	Let's go for lunch.
ham	I will message you later.
ham	Can we reschedule the class?
ham	Meeting is postponed to tomorrow.
ham	Please review the document.
ham	Are you available for discussion?
ham	Your order has been shipped.
ham	Project submission is next week.
ham	Thanks for the update.
ham	See you soon.

spam	URGENT! You have won a lottery. Claim now!
spam	Congratulations! You are selected for a cash prize.
spam	Free entry in a contest. Click now!
spam	Your bank account will be suspended. Update KYC immediately.
spam	Win ₹10,000 now! Limited time offer.
spam	Click here to verify your bank details.
spam	Your OTP is required. Share immediately.
spam	You have been chosen as a lucky winner.
spam	Act now to avoid account suspension.
spam	Exclusive offer just for you. Claim today!
spam	Your debit card is blocked. Update details now.
spam	You won a free vacation package.
spam	Confirm your account immediately.
spam	Your bank KYC is pending. Update now.
spam	Limited time deal. Click the link below.
spam	Claim your reward before it expires.
spam	You have received a prize notification.
spam	Final warning! Account will be closed.
spam	Get free cashback today.
spam	Verify your identity to avoid suspension.
spam	Your loan is approved instantly.
spam	Congratulations! Claim your bonus now.
spam	Immediate action required. Update details.
spam	Click this secure link to continue.
spam	You are eligible for a special reward.
